shipment_id,event_time,period_date,origin_city,origin_state,destination_city,destination_state,mode,distance_km,weight_tons,sku,quantity,supplier_id,facility_id,urgent_flag

SHP_78EA22DF9A,2026-02-24T05:47:36.999496Z,2026-02-24,Ahmedabad,GJ,Chennai,TN,sea,815,3.3,SKU_GEARBOX,22.39,SUP_MAH_002,FAC_CHN_01,False
SHP_7A98DAC736,2026-02-24T05:47:39.023678Z,2026-02-24,Ahmedabad,GJ,Pune,MH,road,1459,16.22,SKU_BEARING,109.6,SUP_TAT_001,FAC_BLR_01,False
SHP_23264B534B,2026-02-24T05:47:41.026754Z,2026-02-24,Mumbai,MH,Hyderabad,TS,road,1223,9.06,SKU_GEARBOX,115.91,SUP_GUJ_003,FAC_CHN_01,False
SHP_33DA2BF932,2026-02-24T05:47:43.031064Z,2026-02-24,Ahmedabad,GJ,Pune,MH,road,1441,15.74,SKU_MOTOR,183.11,SUP_TAT_001,FAC_CHN_01,False
SHP_4DA87B4C70,2026-02-24T05:47:45.038018Z,2026-02-24,Delhi,DL,Mumbai,MH,road,1420,3.07,SKU_BEARING,187.16,SUP_GUJ_003,FAC_BLR_01,False
SHP_F8580DE4B1,2026-02-24T05:47:47.043033Z,2026-02-24,Jaipur,RJ,Pune,MH,rail,1765,4.11,SKU_STEEL,142.98,SUP_TAT_001,FAC_BLR_01,False
SHP_6108FD060B,2026-02-24T05:47:49.047194Z,2026-02-24,Bengaluru,KA,Kolkata,WB,rail,1124,9.67,SKU_PLASTIC,77.2,SUP_TN_004,FAC_PUNE_01,True
SHP_C4A6042D16,2026-02-24T05:47:51.054816Z,2026-02-24,Pune,MH,Jaipur,RJ,road,1693,2.35,SKU_GEARBOX,19.5,SUP_TN_004,FAC_CHN_01,False
SHP_87DDDC589C,2026-02-24T05:47:53.064683Z,2026-02-24,Hyderabad,TS,Pune,MH,road,1195,16.54,SKU_BEARING,25.74,SUP_TAT_001,FAC_CHN_01,False
SHP_9A29B224E9,2026-02-24T05:47:55.074979Z,2026-02-24,Delhi,DL,Mumbai,MH,road,1420,12.14,SKU_PLASTIC,119.52,SUP_MAH_002,FAC_BLR_01,False
SHP_3852CD1C16,2026-02-24T05:47:57.083100Z,2026-02-24,Ahmedabad,GJ,Delhi,DL,rail,379,10.75,SKU_BEARING,166.33,SUP_GUJ_003,FAC_PUNE_01,False
SHP_A07773FFCE,2026-02-24T05:47:59.088976Z,2026-02-24,Ahmedabad,GJ,Chennai,TN,rail,1660,8.82,SKU_STEEL,91.3,SUP_TAT_001,FAC_CHN_01,False
SHP_93F4B2EF8F,2026-02-24T05:48:01.093838Z,2026-02-24,Chennai,TN,Kolkata,WB,rail,1102,4.42,SKU_PLASTIC,165.34,SUP_TAT_001,FAC_BLR_01,False
SHP_F7BA6904B2,2026-02-24T05:48:03.099400Z,2026-02-24,Delhi,DL,Mumbai,MH,road,1420,2.68,SKU_MOTOR,129.23,SUP_TN_004,FAC_CHN_01,True
SHP_9AF12B901B,2026-02-24T05:48:05.107202Z,2026-02-24,Delhi,DL,Hyderabad,TS,road,950,15.46,SKU_BEARING,44.04,SUP_TAT_001,FAC_BLR_01,False
SHP_757E16998E,2026-02-24T05:48:07.138072Z,2026-02-24,Jaipur,RJ,Hyderabad,TS,road,1058,3.8,SKU_MOTOR,105.41,SUP_MAH_002,FAC_CHN_01,False
SHP_4E097B14B7,2026-02-24T05:48:09.144708Z,2026-02-24,Jaipur,RJ,Hyderabad,TS,sea,1089,5.37,SKU_BEARING,150.67,SUP_TN_004,FAC_PUNE_01,False
SHP_08686FC896,2026-02-24T05:48:11.151428Z,2026-02-24,Delhi,DL,Mumbai,MH,rail,1420,7.16,SKU_MOTOR,169.29,SUP_TN_004,FAC_PUNE_01,False
SHP_9C15874474,2026-02-24T05:48:13.158962Z,2026-02-24,Ahmedabad,GJ,Kolkata,WB,road,371,3.88,SKU_PLASTIC,101.43,SUP_TN_004,FAC_BLR_01,False
SHP_61476E9818,2026-02-24T05:48:15.165290Z,2026-02-24,Kolkata,WB,Delhi,DL,road,1500,14.15,SKU_PLASTIC,26.97,SUP_MAH_002,FAC_BLR_01,True
SHP_0423BCBFD4,2026-02-24T05:48:17.182360Z,2026-02-24,Mumbai,MH,Hyderabad,TS,road,770,11.83,SKU_PLASTIC,164.12,SUP_TN_004,FAC_PUNE_01,False
SHP_155A80C640,2026-02-24T05:48:19.189965Z,2026-02-24,Bengaluru,KA,Delhi,DL,road,654,3.76,SKU_BEARING,17.3,SUP_TN_004,FAC_BLR_01,False
SHP_C9CE8A90C1,2026-02-24T05:48:21.195795Z,2026-02-24,Bengaluru,KA,Jaipur,RJ,rail,657,8.74,SKU_STEEL,32.1,SUP_MAH_002,FAC_CHN_01,False
SHP_BFEBABA792,2026-02-24T05:48:23.199353Z,2026-02-24,Jaipur,RJ,Ahmedabad,GJ,sea,330,11.44,SKU_STEEL,70.07,SUP_MAH_002,FAC_CHN_01,False
SHP_8A8307ADF9,2026-02-24T05:48:25.203607Z,2026-02-24,Bengaluru,KA,Mumbai,MH,road,985,14.19,SKU_GEARBOX,143.5,SUP_GUJ_003,FAC_PUNE_01,False
SHP_270EAA929F,2026-02-24T05:48:27.214361Z,2026-02-24,Jaipur,RJ,Mumbai,MH,rail,1728,10.98,SKU_MOTOR,111.46,SUP_GUJ_003,FAC_MUM_01,False
SHP_A913026721,2026-02-24T05:48:29.221023Z,2026-02-24,Jaipur,RJ,Ahmedabad,GJ,road,1301,16.44,SKU_PLASTIC,93.37,SUP_TAT_001,FAC_MUM_01,False
SHP_8BC8F3AC42,2026-02-24T05:48:31.227859Z,2026-02-24,Bengaluru,KA,Mumbai,MH,road,985,10.71,SKU_PLASTIC,119.53,SUP_TAT_001,FAC_PUNE_01,False
SHP_C3E3BDA139,2026-02-24T05:48:33.236807Z,2026-02-24,Hyderabad,TS,Jaipur,RJ,road,1073,7.1,SKU_STEEL,11.6,SUP_TN_004,FAC_BLR_01,False
SHP_38736ADFC4,2026-02-24T05:48:35.245325Z,2026-02-24,Chennai,TN,Mumbai,MH,rail,616,2.51,SKU_MOTOR,27.6,SUP_GUJ_003,FAC_BLR_01,False
SHP_E85BB480C4,2026-02-24T05:48:37.258908Z,2026-02-24,Hyderabad,TS,Bengaluru,KA,rail,570,4.14,SKU_GEARBOX,80.08,SUP_GUJ_003,FAC_CHN_01,True
SHP_64D448E78D,2026-02-24T05:48:39.272645Z,2026-02-24,Hyderabad,TS,Jaipur,RJ,road,1483,2.61,SKU_MOTOR,136.94,SUP_TN_004,FAC_PUNE_01,False
SHP_859B1DD4F0,2026-02-24T05:48:41.279227Z,2026-02-24,Mumbai,MH,Pune,MH,road,150,11.28,SKU_STEEL,116.62,SUP_MAH_002,FAC_MUM_01,False
SHP_9FF2F853C1,2026-02-24T05:48:43.287173Z,2026-02-24,Ahmedabad,GJ,Kolkata,WB,road,1101,14.5,SKU_BEARING,161.73,SUP_MAH_002,FAC_CHN_01,False
SHP_0B65933F2D,2026-02-24T05:48:45.292667Z,2026-02-24,Delhi,DL,Hyderabad,TS,air,1521,13.8,SKU_PLASTIC,38.72,SUP_TN_004,FAC_BLR_01,True
SHP_85E1C0E0DE,2026-02-24T05:48:47.300175Z,2026-02-24,Ahmedabad,GJ,Kolkata,WB,sea,1302,13.43,SKU_BEARING,86.4,SUP_TN_004,FAC_PUNE_01,False
SHP_F585837A14,2026-02-24T05:48:49.312067Z,2026-02-24,Pune,MH,Hyderabad,TS,rail,1496,2.03,SKU_MOTOR,121.46,SUP_TAT_001,FAC_CHN_01,True
SHP_CAD02B86B5,2026-02-24T05:48:51.318416Z,2026-02-24,Pune,MH,Hyderabad,TS,road,673,8.7,SKU_GEARBOX,106.99,SUP_GUJ_003,FAC_MUM_01,False
SHP_A6160CC7BF,2026-02-24T05:48:53.324195Z,2026-02-24,Jaipur,RJ,Delhi,DL,road,280,6.57,SKU_STEEL,192.24,SUP_GUJ_003,FAC_MUM_01,False
SHP_6D65FE1E35,2026-02-24T05:48:55.331328Z,2026-02-24,Hyderabad,TS,Ahmedabad,GJ,road,966,17.79,SKU_MOTOR,90.95,SUP_MAH_002,FAC_BLR_01,False
SHP_E2DD88EDB5,2026-02-24T05:48:57.342754Z,2026-02-24,Pune,MH,Kolkata,WB,rail,442,13.92,SKU_PLASTIC,184.59,SUP_MAH_002,FAC_BLR_01,False
SHP_9722079BE9,2026-02-24T05:48:59.348656Z,2026-02-24,Kolkata,WB,Pune,MH,road,711,9.55,SKU_PLASTIC,75.74,SUP_TAT_001,FAC_MUM_01,False
SHP_E1067623BB,2026-02-24T05:49:01.378709Z,2026-02-24,Chennai,TN,Mumbai,MH,road,735,13.47,SKU_MOTOR,70.13,SUP_TAT_001,FAC_CHN_01,False
SHP_4C258E6FDE,2026-02-24T05:49:03.386289Z,2026-02-24,Kolkata,WB,Chennai,TN,road,711,15.11,SKU_STEEL,48.68,SUP_MAH_002,FAC_CHN_01,False
SHP_58464732F1,2026-02-24T05:49:05.394609Z,2026-02-24,Bengaluru,KA,Hyderabad,TS,road,570,4.3,SKU_BEARING,39.36,SUP_MAH_002,FAC_PUNE_01,False
